Status,Hostname,Type,Internal IP,Windows Update Server,Site,OS,Patch Status,AV Status,Last Seen,Last Reboot,Model,Groups
Offline,SRLA-LT110,Laptop,192.168.1.77,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.26100,Fully Patched,Running And Up To Date,2025-01-22T05:47:18Z,2025-01-16T01:25:29Z,21JN005AUS,
Offline,SRLA-LT111,Laptop,192.168.1.111,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T04:28:57Z,2025-01-21T14:59:41Z,21JN005AUS,
Offline,SRLA-LT114,Laptop,192.168.1.158,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T04:26:39Z,2025-01-16T19:15:17Z,21JN005DUS,
Offline,SRLA-LT119,Laptop,192.168.4.105,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T06:31:24Z,2025-01-15T20:43:44Z,21JN0040US,
Offline,SRLA-LT120,Laptop,192.168.1.142,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T05:51:18Z,2025-01-16T21:24:05Z,21JN0040US,
Offline,SRLA-LT122,Laptop,10.10.20.143,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T01:18:29Z,2025-01-21T16:33:36Z,21JN005AUS,
Offline,SRLA-LT123,Laptop,10.10.10.110,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Install Error,Running And Up To Date,2025-01-22T01:18:06Z,2025-01-21T16:50:12Z,21JN005AUS,
Offline,SRLA-LT124,Laptop,192.168.12.163,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Approved Pending,Running And Up To Date,2025-01-22T03:39:13Z,2025-01-22T01:28:33Z,21JN005AUS,
Offline,SRLA-LT125,Laptop,192.168.4.56,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.26100,Fully Patched,Running And Up To Date,2025-01-22T04:29:17Z,2025-01-20T22:56:52Z,21JN005AUS,
Online,SRLA-LT126,Laptop,192.168.1.16,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-15T10:03:38Z,21JN005AUS,
